Player,Dismissal,Runs,Balls Faced,Fours,Sixes,Strike Rate
Travis Head,b  Mohammed Siraj,5,10,1,0,50
Mitchell Marsh,c  Mohammed Siraj b  Jadeja,81,65,10,5,124.62
Steve Smith,c †Rahul b  Pandya,22,30,4,0,73.33
Marnus Labuschagne,c  Jadeja b  Kuldeep Yadav,15,22,1,0,68.18
Josh Inglis,b  Mohammed Shami,26,27,1,1,96.3
Cameron Green,b  Mohammed Shami,12,19,0,0,63.16
Glenn Maxwell,c  Pandya b  Jadeja,8,10,1,0,80
Marcus Stoinis,c  Shubman Gill b  Mohammed Shami,5,8,1,0,62.5
Sean Abbott,c  Shubman Gill b  Mohammed Siraj,0,7,0,0,0
Mitchell Starc,not out,4,10,1,0,40
Adam Zampa,c †Rahul b  Mohammed Siraj,0,6,0,0,0
Ishan Kishan,lbw b  Stoinis,3,8,0,0,37.5
Shubman Gill,c  Labuschagne b  Starc,20,31,3,0,64.52
Virat Kohli,lbw b  Starc,4,9,1,0,44.44
Suryakumar Yadav,lbw b  Starc,0,1,0,0,0
KL Rahul,not out,75,91,7,1,82.42
Hardik Pandya,c  Green b  Stoinis,25,31,3,1,80.65
Ravindra Jadeja,not out,45,69,5,0,65.22
Shardul Thakur,,,,,,
Kuldeep Yadav,,,,,,
Mohammed Siraj,,,,,,
Mohammed Shami,,,,,,
